codigo_sucursal,codigo_cliente,fecha_cierre_comercial,SKU_codigo,venta_unidades,venta_importe,condicion_venta
68,1672,2025-03-17,DFD53GMNYW,90,498.59,CEX
57,1282,2025-03-17,WSEK6VU47B,40,570.05,CEX
64,7980,2025-03-17,KJYPNPR63H,1,124.0,EFE
51,9432,2025-03-17,4WN75T87YY,100,513.44,EFE
66,6067,2025-03-17,KS35APO0UU,18,490.85,CEX
61,7998,2025-03-17,8N7Y12X103,77,263.73,CEX
51,9318,2025-03-17,VBZ9YI39RT,49,963.51,EFE
67,2254,2025-03-17,0Q4VAZADH0,25,921.63,CEX
55,4382,2025-03-17,1TYQX3Q1L3,28,691.13,CEX
53,8608,2025-03-17,6KGQ43V70H,29,373.52,CEX
